"id","surface","source","file","line","occurrences","locale","key","current_text","suggested_text","notes"
"i18n.ja.app.title","frontstage","i18n","src/lib/i18n.ts","7","1","ja","app.title","ブローカーデスク","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.app.description","frontstage","i18n","src/lib/i18n.ts","8","1","ja","app.description","不動産業務の資料入力・整理・出力センター","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.nav.searchPlaceholder","frontstage","i18n","src/lib/i18n.ts","9","1","ja","nav.searchPlaceholder","物件・関係者・出力履歴を検索","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.nav.importButton","frontstage","i18n","src/lib/i18n.ts","10","1","ja","nav.importButton","作成・資料登録","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.nav.outputButton","frontstage","i18n","src/lib/i18n.ts","11","1","ja","nav.outputButton","書類を出力","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.nav.ownerBadge","frontstage","i18n","src/lib/i18n.ts","12","1","ja","nav.ownerBadge","担当","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.nav.tagline","frontstage","i18n","src/lib/i18n.ts","13","1","ja","nav.tagline","入力・整理・出力","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.nav.link.dashboard","frontstage","i18n","src/lib/i18n.ts","14","1","ja","nav.link.dashboard","資料管理センター","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.nav.link.clients","frontstage","i18n","src/lib/i18n.ts","15","1","ja","nav.link.clients","顧客","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.nav.link.importCenter","frontstage","i18n","src/lib/i18n.ts","16","1","ja","nav.link.importCenter","作成・資料登録","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.nav.link.properties","frontstage","i18n","src/lib/i18n.ts","17","1","ja","nav.link.properties","物件台帳","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.nav.link.parties","frontstage","i18n","src/lib/i18n.ts","18","1","ja","nav.link.parties","関係者","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.nav.link.quotes","frontstage","i18n","src/lib/i18n.ts","19","1","ja","nav.link.quotes","提案・試算","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.nav.link.contracts","frontstage","i18n","src/lib/i18n.ts","20","1","ja","nav.link.contracts","契約・法定","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.nav.link.serviceRequests","frontstage","i18n","src/lib/i18n.ts","21","1","ja","nav.link.serviceRequests","対応履歴","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.nav.link.outputCenter","frontstage","i18n","src/lib/i18n.ts","22","1","ja","nav.link.outputCenter","書類を出力","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.nav.link.templates","frontstage","i18n","src/lib/i18n.ts","23","1","ja","nav.link.templates","テンプレート","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.locale.ja","frontstage","i18n","src/lib/i18n.ts","24","1","ja","locale.ja","日本語","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.locale.zh","frontstage","i18n","src/lib/i18n.ts","25","1","ja","locale.zh","中文","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.locale.ko","frontstage","i18n","src/lib/i18n.ts","26","1","ja","locale.ko","한국어","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.locale.label","frontstage","i18n","src/lib/i18n.ts","27","1","ja","locale.label","言語","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.dashboard.title","frontstage","i18n","src/lib/i18n.ts","29","1","ja","dashboard.title","業務資料ハブ","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.dashboard.description","frontstage","i18n","src/lib/i18n.ts","30","1","ja","dashboard.description","物件・関係者・契約・対応履歴・出力書類を1か所で管理します。","","Can be edited in CSV and migrated back to i18n source."
"i18n.ja.dashboard.kpi.properties","frontstage","i18n","src/lib/i18n.ts","31","1","ja","dashboard.kpi.properties","登録物件","","Can be edited in CSV and migrated back to i18n source."
